Format of output
key:  value  ->  retrievedValue , collisions number Collisions
Linear total number Collisions
Quadratic total number Collisions
Double hashing total number Collisions

*** Random Order Start *** 

259 : 518 -> 518, collisions 0

5602 : 11204 -> 11204, collisions 0
5602 : 11204 -> 11204, collisions 0
5602 : 11204 -> 11204, collisions 2

984 : 1968 -> 1968, collisions 4
984 : 1968 -> 1968, collisions 4
984 : 1968 -> 1968, collisions 2

4818 : 9636 -> 9636, collisions 0
4818 : 9636 -> 9636, collisions 0
4818 : 9636 -> 9636, collisions 0

5826 : 11652 -> 11652, collisions 0
5826 : 11652 -> 11652, collisions 0
5826 : 11652 -> 11652, collisions 0

3168 : 6336 -> 6336, collisions 0
3168 : 6336 -> 6336, collisions 0
3168 : 6336 -> 6336, collisions 0

1970 : 3940 -> 3940, collisions 0
1970 : 3940 -> 3940, collisions 0
1970 : 3940 -> 3940, collisions 0

3467 : 6934 -> 6934, collisions 8
3467 : 6934 -> 6934, collisions 8
3467 : 6934 -> 6934, collisions 4

3840 : 7680 -> 7680, collisions 0
3840 : 7680 -> 7680, collisions 0
3840 : 7680 -> 7680, collisions 0

4558 : 9116 -> 9116, collisions 0
4558 : 9116 -> 9116, collisions 0
4558 : 9116 -> 9116, collisions 0

3919 : 7838 -> 7838, collisions 0
3919 : 7838 -> 7838, collisions 0
3919 : 7838 -> 7838, collisions 2

526 : 1052 -> 1052, collisions 2
526 : 1052 -> 1052, collisions 2
526 : 1052 -> 1052, collisions 2

1363 : 2726 -> 2726, collisions 0
1363 : 2726 -> 2726, collisions 0
1363 : 2726 -> 2726, collisions 0

6150 : 12300 -> 12300, collisions 0
6150 : 12300 -> 12300, collisions 0
6150 : 12300 -> 12300, collisions 0

7030 : 14060 -> 14060, collisions 0
7030 : 14060 -> 14060, collisions 0
7030 : 14060 -> 14060, collisions 0

9886 : 19772 -> 19772, collisions 2
9886 : 19772 -> 19772, collisions 2
9886 : 19772 -> 19772, collisions 2

4924 : 9848 -> 9848, collisions 2
4924 : 9848 -> 9848, collisions 2
4924 : 9848 -> 9848, collisions 2

8145 : 16290 -> 16290, collisions 2
8145 : 16290 -> 16290, collisions 2
8145 : 16290 -> 16290, collisions 0

2407 : 4814 -> 4814, collisions 0
2407 : 4814 -> 4814, collisions 0
2407 : 4814 -> 4814, collisions 0

8557 : 17114 -> 17114, collisions 16
